player,fname,lname,pname,pos1,pos2,height,weight,yob,forty,bench,vertical,broad,shuttle,cone,dpos,col,dv,start,cteam,posd,jnum,dcp
KC-0800,Kirk,Chambers,K.Chambers,OL,,79,307,1979,5.44,22,27,101,4.51,7.58,176,Stanford,Pacific 10,2004,INA,INA,0,0
KC-0900,Kam,Chancellor,K.Chancellor,DB,,75,232,1988,4.62,22,32,116,4.41,7.36,133,Virginia Tech,Atlantic Coast (ACC),2010,SEA,SS,31,1
KC-1000,Kory,Chapman,K.Chapman,RB,,73,202,1980,0,0,0,0,0,0,0,Jacksonville State,Ohio Valley,2005,INA,INA,0,0
KC-1100,Kendrick,Clancy,K.Clancy,DL,,73,305,1978,5.25,25,27.5,108,4.65,7.98,72,Mississippi,Southeastern (SEC),2000,INA,INA,0,0
KC-1200,Kenny,Clark,K.Clark,WR,,73,217,1978,0,0,0,0,0,0,0,Central Florida,Mid-American (MAC),2003,INA,INA,0,0
KC-1250,Kaelin,Clay,K.Clay,WR,,70,195,1992,4.45,10,33,113,4.26,6.97,184,Utah,Pacific 12,2015,BAL,LWR,81,2
KC-1300,Keenan,Clayton,K.Clayton,LB,,73,229,1987,4.59,27,41.5,124,0,0,121,Oklahoma,Big 12,2010,INA,INA,0,0
KC-1400,Kellen,Clemens,K.Clemens,QB,,74,220,1983,4.89,0,0,0,0,0,49,Oregon,Pacific 10,2006,SD,QB,10,2
KC-1450,Kasey,Closs,K.Closs,WR,,75,205,1992,4.48,20,39,119,4.2,6.94,0,Portland State,Big Sky,2015,INA,INA,0,0
KC-1500,Keary,Colbert,K.Colbert,WR,,73,200,1982,0,0,0,0,0,0,62,USC,Pacific 10,2004,INA,INA,0,0
KC-1600,KaRon,Coleman,K.Coleman,RB,,67,198,1978,0,0,0,0,0,0,0,Minnesota,Big Ten,2000,INA,INA,0,0
KC-1700,Kenyon,Coleman,K.Coleman,DL,,77,293,1979,4.97,32,0,0,0,0,147,UCLA,Pacific 10,2002,INA,INA,0,0
KC-1800,Kurt,Coleman,K.Coleman,DB,,70,192,1988,4.55,19,0,0,0,0,244,Ohio State,Big Ten,2010,CAR,FS,20,1
KC-1900,Kevis,Coley,K.Coley,LB,,73,228,1982,0,0,0,0,0,0,0,Southern Mississippi,Conference USA (C-USA),2008,INA,INA,0,0
KC-2000,Kerry,Collins,K.Collins,QB,,77,248,1972,0,0,0,0,0,0,1,Penn State,Big Ten,1995,INA,INA,0,0
KC-2050,Kain,Colter,K.Colter,WR,,70,198,1990,4.72,11,0,0,4.2,6.68,0,Northwestern,Big Ten,2014,INA,INA,0,0
KC-2100,Kevin,Cone,K.Cone,WR,,74,216,1988,0,0,0,0,0,0,0,Georgia Tech,Atlantic Coast (ACC),2011,INA,INA,0,0
KC-2200,Kavell,Conner,K.Conner,LB,DB,72,242,1987,4.59,24,33.5,110,4.6,7.36,240,Clemson,Atlantic Coast (ACC),2010,SD,LILB,53,2
KC-2250,Kenny,Cook,K.Cook,WR,,75,212,1992,4.6,12,33,120,4.37,7.13,0,Gardner Webb,,2015,INA,INA,0,0
KC-2300,Kyle,Cook,K.Cook,OL,,75,312,1983,0,0,0,0,0,0,0,Michigan State,Big Ten,2008,INA,INA,0,0
KC-2350,Kirk,Cousins,K.Cousins,QB,,75,214,1988,4.84,0,28.5,109,4.5,7.05,102,Michigan State,Big Ten,2012,WAS,QB,8,1
KC-2400,Kennard,Cox,K.Cox,DB,,73,195,1985,0,0,0,0,0,0,251,Pittsburgh,Big East,2008,INA,INA,0,0
KC-2500,Keyou,Craver,K.Craver,DB,,70,195,1980,4.62,13,31,123,0,0,125,Nebraska,Big 12,2002,INA,INA,0,0
KC-2600,Kenwin,Cummings,K.Cummings,LB,,75,270,1986,0,0,0,0,0,0,0,Wingate,,2009,INA,INA,0,0
KC-2700,Kevin,Curtis,K.Curtis,WR,,71,186,1978,4.42,0,36,122,3.99,6.76,74,Utah State,FBS Independents,2003,INA,INA,0,0
KD-0100,Karlos,Dansby,K.Dansby,LB,,75,250,1981,0,0,0,0,0,0,33,Auburn,Southeastern (SEC),2004,CLE,LILB,56,1
KD-0200,Kenneth,Darby,K.Darby,RB,,70,214,1982,4.75,19,30,108,4.53,7.25,246,Alabama,Southeastern (SEC),2007,INA,INA,0,0
KD-0250,Kanorris,Davis,K.Davis,DB,,70,203,1990,4.61,21,37.5,121,4.24,7.07,0,Troy,Sun Belt,2013,INA,INA,0,0
KD-0300,Keith,Davis,K.Davis,DB,,70,193,1978,0,0,0,0,0,0,0,Sam Houston State,Southland,2002,INA,INA,0,0
KD-0400,Kellen,Davis,K.Davis,TE,WR,78,262,1985,4.59,22,28,118,4.38,7.25,158,Michigan State,Big Ten,2008,NYJ,TE,47,2
KD-0450,Knile,Davis,K.Davis,RB,TE,70,227,1991,4.35,31,33.5,121,4.38,6.96,96,Arkansas,Southeastern (SEC),2013,KC,RB,34,2
KD-0500,Keyunte,Dawson,K.Dawson,DL,LB,75,265,1985,0,0,0,0,0,0,242,Texas Tech,Big 12,2007,INA,INA,0,0
KD-0550,Kenny,Demens,K.Demens,LB,,73,242,1990,4.85,26,33.5,119,4.54,7.34,0,Michigan,Big Ten,2013,ARI,RES,54,4
KD-0600,Koy,Detmer,K.Detmer,QB,,73,195,1973,0,0,0,0,0,0,207,Colorado,Big 12,1998,INA,INA,0,0
KD-0700,Kyle,DeVan,K.DeVan,OL,,74,294,1985,0,0,0,0,0,0,0,Oregon State,Pacific 10,2009,INA,INA,0,0
KD-0800,Kori,Dickerson,K.Dickerson,TE,,76,235,1978,0,0,0,0,0,0,0,USC,Pacific 10,2003,INA,INA,0,0
KD-0900,Kris,Dielman,K.Dielman,OL,,76,310,1981,0,0,0,0,0,0,0,Indiana,Big Ten,2003,INA,INA,0,0
KD-1000,Ken,Dilger,K.Dilger,TE,,77,250,1971,0,0,0,0,0,0,48,Illinois,Big Ten,1995,INA,INA,0,0
KD-1100,Kevin,Dockery,K.Dockery,DB,,68,188,1984,0,0,0,0,0,0,0,Mississippi State,Southeastern (SEC),2006,INA,INA,0,0
KD-1150,Kenzel,Doe,K.Doe,WR,,68,176,1992,4.54,22,37,125,4.29,7.09,0,Wisconsin,Big Ten,2015,INA,INA,0,0
KD-1200,Kevin,Dogins,K.Dogins,OL,,73,295,1972,0,0,0,0,0,0,0,Texas A&M-Kingsville,,1996,INA,INA,0,0
KD-1300,Kevin,Donnalley,K.Donnalley,OL,,77,310,1968,0,0,0,0,0,0,79,North Carolina,Atlantic Coast (ACC),1991,INA,INA,0,0
KD-1400,Ken,Dorsey,K.Dorsey,QB,,76,218,1981,0,0,0,0,0,0,241,Miami (FL),Big East,2004,INA,INA,0,0
KD-1450,Kevin,Dorsey,K.Dorsey,WR,,73,207,1990,4.47,17,38,130,4.28,7.08,224,Maryland,Atlantic Coast (ACC),2013,INA,INA,0,0
KD-1475,Kurtis,Drummond,K.Drummond,DB,,73,208,1992,4.58,13,39.5,123,4.33,7.09,0,Michigan State,Big Ten,2015,HOU,SS,40,3
KD-1500,Kevin,Dudley,K.Dudley,RB,,72,238,1982,4.91,19,30,109,4.58,7.27,0,Michigan,Big Ten,2005,INA,INA,0,0
KD-1600,King,Dunlap,K.Dunlap,OL,,80,330,1985,5.28,21,0,0,0,0,230,Auburn,Southeastern (SEC),2008,SD,LT,77,1
KD-1700,Kris,Durham,K.Durham,WR,,77,216,1988,0,0,0,0,0,0,107,Georgia,Southeastern (SEC),2011,INA,INA,0,0
KD-1800,Keilen,Dykes,K.Dykes,DL,,75,292,1984,0,0,0,0,0,0,0,West Virginia,Big East,2009,INA,INA,0,0
KD-1900,Kevin,Dyson,K.Dyson,WR,,73,208,1975,0,0,0,0,0,0,16,Utah,Western Athletic,1998,INA,INA,0,0
KE-0050,Kony,Ealy,K.Ealy,DL,,76,273,1991,4.84,22,32,120,4.45,6.83,60,Missouri,Southeastern (SEC),2014,CAR,LDE,94,2
KE-0100,Kyle,Eckel,K.Eckel,RB,,71,237,1981,0,0,0,0,0,0,0,Navy,FBS Independents,2007,INA,INA,0,0
KE-0125,Kasim,Edebali,K.Edebali,LB,,74,253,1989,4.76,19,34.5,115,4.35,7.2,0,Boston College,Atlantic Coast (ACC),2014,NO,SLB,91,2
KE-0150,Kadeem,Edwards,K.Edwards,OL,,76,313,1991,5.18,26,27,99,4.82,7.95,143,Tennessee State,Ohio Valley,2014,JAC,PS,73,4
KE-0200,Kalimba,Edwards,K.Edwards,DL,,77,264,1979,0,0,0,0,0,0,35,South Carolina,Southeastern (SEC),2002,INA,INA,0,0
KE-0225,Kip,Edwards,K.Edwards,DB,,73,200,1989,4.57,15,33.5,122,4.21,6.88,0,Missouri,Southeastern (SEC),2013,INA,INA,0,0
KE-0250,Kevin,Elliott,K.Elliott,WR,,75,213,1988,0,0,0,0,0,0,0,Florida A&M,Mid-Eastern Athletic (MEAC),2012,INA,INA,0,0
KE-0300,Kenrick,Ellis,K.Ellis,DL,,77,330,1987,5.19,26,0,0,0,0,94,Hampton,Mid-Eastern Athletic (MEAC),2011,MIN,NT,72,2
KE-0400,Keith,Ellison,K.Ellison,LB,,73,229,1984,4.76,24,32.5,115,4.16,7.23,178,Oregon State,Pacific 10,2006,INA,INA,0,0
KE-0500,Kevin,Ellison,K.Ellison,DB,,73,224,1987,0,0,0,0,0,0,189,USC,Pacific 10,2009,INA,INA,0,0
KE-0550,Kyle,Emanuel,K.Emanuel,LB,,75,255,1991,4.72,27,34,120,4.25,7.1,153,North Dakota State,Missouri Valley,2015,SD,ROLB,51,2
KE-0600,Keith,Embray,K.Embray,DL,,76,265,1974,0,0,0,0,0,0,0,Utah,Mountain West (MWC),2000,INA,INA,0,0
KE-0650,Kaleb,Eulls,K.Eulls,DL,,75,305,1991,5.14,26,28,104,4.59,7.45,0,Mississippi State,Southeastern (SEC),2015,NO,NT,71,2
KE-0700,Kevin,Everett,K.Everett,TE,,77,241,1982,0,0,0,0,0,0,86,Miami (FL),Atlantic Coast (ACC),2006,INA,INA,0,0
KF-0100,Kris,Farris,K.Farris,OL,,80,318,1977,5.12,20,24,95,4.76,8,74,UCLA,Pacific 10,2001,INA,INA,0,0
KF-0200,Kevin,Faulk,K.Faulk,RB,,68,202,1976,4.57,0,34,114,4.09,7.14,46,LSU,Southeastern (SEC),1999,INA,INA,0,0
KF-0225,Kevin,Fogg,K.Fogg,DB,,69,182,1990,4.49,17,33,124,4.47,7.08,0,Liberty,,2014,INA,INA,0,0
KF-0250,Kai,Forbath,K.Forbath,K,,71,191,1987,0,0,0,0,0,0,0,UCLA,Pacific 10,2011,NO,PK,5,1
KF-0300,Kynan,Forney,K.Forney,OL,,75,307,1978,5.28,23,27,97,4.77,8.5,219,Hawaii,Western Athletic,2001,INA,INA,0,0
KF-0350,Khairi,Fortt,K.Fortt,LB,,74,248,1992,4.7,30,36,120,4.35,7.12,126,California,Pacific 12,2014,INA,INA,0,0
KF-0400,Keyaron,Fox,K.Fox,LB,,74,235,1982,4.65,28,0,0,0,0,93,Georgia Tech,Atlantic Coast (ACC),2004,INA,INA,0,0
KF-0500,Kyle,Fuller,K.Fuller,DB,,72,190,1992,4.4,12,38.5,128,4.19,6.9,14,Virginia Tech,Atlantic Coast (ACC),2014,CHI,RCB,23,1
KG-0100,Kendall,Gammon,K.Gammon,TE,,76,255,1968,0,0,0,0,0,0,291,Pittsburg State,,1992,INA,INA,0,0
KG-0200,Kelvin,Garmon,K.Garmon,OL,,74,350,1976,5.09,23,25,96,4.66,7.84,243,Baylor,Big 12,2001,INA,INA,0,0
KG-0300,Kevin,Garrett,K.Garrett,DB,,70,194,1980,4.32,0,35,129,3.96,6.9,172,SMU,Western Athletic,2003,INA,INA,0,0
KG-0350,Kendall,Gaskins,K.Gaskins,RB,,73,238,1990,4.7,20,34,118,4.49,7.32,0,Richmond,Colonial Athletic (CAA),2013,SF,RB,40,1
KG-0400,Kabeer,Gbaja-Biamila,K.Gbaja-Biamila,DL,,76,255,1977,0,0,0,0,0,0,149,San Diego State,Mountain West (MWC),2000,INA,INA,0,0
KG-0450,Kwame,Geathers,K.Geathers,DL,,77,335,1990,5.4,21,29,103,5.27,7.88,0,Georgia,Southeastern (SEC),2013,INA,INA,0,0
KG-0500,K.J.,Gerard,K.Gerard,DB,,73,187,1986,0,0,0,0,0,0,0,Northern Arizona,Big Sky,2009,INA,INA,0,0
KG-0550,Ka'Lial,Glaud,K.Glaud,LB,,74,230,1990,4.8,25,35.5,120,4.41,6.89,0,Rutgers,Big East,2013,DAL,RES,47,4
KG-0600,Kevin,Gogan,K.Gogan,OL,,79,317,1964,0,0,0,0,0,0,206,Washington,Pacific 10,1987,INA,INA,0,0
KG-0700,Kedric,Golston,K.Golston,DL,,76,300,1983,4.88,31,33,111,4.45,7.61,196,Georgia,Southeastern (SEC),2006,WAS,NT,64,2
KG-0750,Kevin,Graf,K.Graf,OL,,77,300,1991,5.07,27,29,107,4.77,7.53,0,USC,Pacific 12,2014,INA,INA,0,0
KG-0800,Kent,Graham,K.Graham,QB,,77,231,1968,0,0,0,0,0,0,211,Ohio State,Big Ten,1992,INA,INA,0,0
KG-0825,Kevin,Greene,K.Greene,TE,,76,255,1991,4.43,21,30.5,111,4.55,6.94,0,USC,Pacific 12,2014,TEN,PS,85,1
KG-0850,Khaseem,Greene,K.Greene,LB,,73,241,1989,4.67,17,34.5,116,4.2,7.58,117,Rutgers,Big East,2013,DET,PS,49,4
KG-0900,Kelly,Gregg,K.Gregg,DL,,72,310,1976,5.27,26,24,96,4.45,7.72,173,Oklahoma,Big 12,1999,INA,INA,0,0
KG-1000,Keith,Grennan,K.Grennan,DL,,76,298,1984,0,0,0,0,0,0,0,Eastern Washington,Big Sky,2008,INA,INA,0,0
KG-1100,Kris,Griffin,K.Griffin,LB,,75,232,1981,0,0,0,0,0,0,0,Geneva,,2005,INA,INA,0,0
KH-0100,Korey,Hall,K.Hall,RB,,72,236,1983,0,0,0,0,0,0,192,Boise State,Western Athletic,2007,INA,INA,0,0
KH-0200,Keith,Hamilton,K.Hamilton,DL,,78,295,1971,0,0,0,0,0,0,99,Pittsburgh,Big East,1992,INA,INA,0,0
KH-0300,Ken,Hamlin,K.Hamlin,DB,,74,209,1981,4.61,16,33,117,3.92,6.8,42,Arkansas,Southeastern (SEC),2003,INA,INA,0,0
KH-0400,Karl,Hankton,K.Hankton,WR,,74,202,1970,0,0,0,0,0,0,0,LSU,Southeastern (SEC),1998,INA,INA,0,0
KH-0450,Kevin,Haplea,K.Haplea,TE,,76,246,1991,4.74,24,30,113,4.63,7.38,0,Florida State,Atlantic Coast (ACC),2015,INA,INA,0,0
KH-0500,Kevin,Hardy,K.Hardy,LB,,76,259,1973,0,0,0,0,0,0,2,Illinois,Big Ten,1996,INA,INA,0,0
KH-0550,Kenneth,Harper,K.Harper,RB,,70,227,1993,4.64,24,32,116,4.34,7.06,0,Temple,American Athletic,2015,INA,INA,0,0
KH-0600,Kay-Jay,Harris,K.Harris,RB,,72,229,1979,4.56,0,38,122,4.1,7.22,0,West Virginia,Big East,2006,INA,INA,0,0
KH-0700,Kwame,Harris,K.Harris,OL,,79,310,1982,5.2,0,35.5,107,4.65,7.98,26,Stanford,Pacific 10,2003,INA,INA,0,0
KH-0800,Kevin,Harrison,K.Harrison,LB,,72,250,1981,0,0,0,0,0,0,0,Eastern Michigan,Mid-American (MAC),2007,INA,INA,0,0
KH-0900,Kevin,Haslam,K.Haslam,OL,,77,304,1986,0,0,0,0,0,0,0,Rutgers,Big East,2010,INA,INA,0,0
KH-1000,Kelvin,Hayden,K.Hayden,DB,,70,195,1983,4.45,17,34,111,3.9,6.87,60,Illinois,Big Ten,2005,INA,INA,0,0
KH-1100,Kellen,Heard,K.Heard,DL,,78,355,1985,0,0,0,0,0,0,0,Memphis,Conference USA (C-USA),2011,INA,INA,0,0
KH-1200,Kyries,Hebert,K.Hebert,DB,,75,220,1980,0,0,0,0,0,0,0,Louisiana-Lafayette,Sun Belt,2008,INA,INA,0,0
KH-1300,Keith,Heinrich,K.Heinrich,TE,RB,77,255,1979,4.77,21,35,120,4.1,6.87,174,Sam Houston State,Southland,2002,INA,INA,0,0
